





Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

0,58,1000,65,0,0,2006,5511

0,0,721,493,0,0,2406,5614

0,0,260,1000,0,0,2793,5718

0,0,193,1000,0,0,2838,5821

0,0,321,855,0,0,2727,5924

0,0,521,638,0,0,2550,6027

0,0,581,631,0,0,2520,6130

0,0,587,493,0,0,2456,6233

1000,1000,1000,1000,969,715,2366,6336

Straight

0,0,787,348,0,0,2306,6673

0,0,587,565,0,0,2490,6776

0,0,587,565,0,0,2490,6879

0,0,587,565,0,0,2490,6982

0,0,587,565,0,0,2490,7085

0,0,521,638,0,0,2550,7188

0,0,581,559,0,0,2490,7291

0,0,654,421,0,0,2391,7394

0,0,654,493,0,0,2429,7497

0,0,654,493,0,0,2429,7600

69,106,909,907,121,116,2562,7703

0,0,654,493,0,0,2429,7808

0,0,521,638,0,0,2550,7911

0,0,521,638,0,0,2550,8014

0,0,581,631,0,0,2520,8117

1000,1000,1000,1000,781,644,2275,8220

Left

114,58,60,0,0,0,5000,9131












Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

0,52,1000,159,0,0,2088,4636

0,0,1000,325,0,0,2245,4739

0,0,921,318,0,0,2256,4842

0,0,921,401,0,0,2303,4945

0,0,921,401,0,0,2303,5048

0,0,921,401,0,0,2303,5151

0,0,777,568,0,0,2422,5254

0,0,705,568,0,0,2446,5357

28,47,764,1000,62,126,2769,5460

56,95,1000,560,69,40,2275,5565

0,0,849,484,0,0,2363,5669

0,0,705,568,0,0,2446,5772

0,0,562,651,0,0,2536,5875

0,0,633,734,0,0,2536,5978

0,0,633,651,0,0,2507,6081

0,0,633,651,0,0,2507,6184

0,0,705,568,0,0,2446,6288

0,0,633,651,0,0,2507,6391

0,0,705,568,0,0,2446,6494

0,0,705,568,0,0,2446,6597

0,0,705,568,0,0,2446,6700

563,1000,1000,1000,1000,1000,2696,6803

Straight

0,0,705,651,0,0,2480,7140

0,0,777,568,0,0,2422,7243

0,0,705,651,0,0,2480,7346

1000,1000,1000,1000,1000,1000,2500,7449

Left

33,4,0,0,0,0,5000,8359



