Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

43,91,1000,284,0,0,2140,4287

43,91,1000,284,0,0,2140,4390

0,204,1000,183,0,0,1984,4493

0,204,1000,183,0,0,1984,4596

0,91,1000,183,0,0,2072,4699

43,316,1000,183,0,0,1911,4802

43,204,1000,183,0,0,1984,4905

43,316,1000,91,0,0,1840,5009

43,204,1000,183,0,0,1984,5112

43,204,1000,183,0,0,1984,5215

43,316,1000,91,0,0,1840,5318

43,204,1000,183,0,0,1984,5421

43,91,1000,183,0,0,2072,5524

43,91,1000,183,0,0,2072,5627

0,91,1000,183,0,0,2072,5730

43,91,1000,284,0,0,2140,5833

0,91,1000,385,0,0,2199,5936

0,91,1000,284,0,0,2140,6039

0,0,1000,486,0,0,2327,6142

0,0,1000,688,0,0,2407,6246

43,0,541,1000,83,0,2717,6349

43,0,437,1000,83,0,2767,6452

43,0,427,1000,83,0,2772,6555

43,0,322,1000,83,0,2829,6658

43,0,208,1000,185,0,2983,6761

38,0,197,1000,175,0,2983,6864

0,0,208,1000,185,0,2983,6967

0,0,322,1000,83,0,2829,7070

43,0,437,1000,83,0,2767,7173

43,0,322,1000,83,0,2829,7276

43,0,208,1000,83,0,2903,7379

38,0,197,1000,175,0,2983,7483

0,0,93,1000,287,0,3140,7586

0,0,208,1000,185,0,2983,7689

0,0,208,1000,185,0,2983,7792

0,0,208,1000,287,0,3052,7895

0,0,208,1000,185,0,2983,7998

43,0,208,1000,185,0,2983,8101

43,0,208,1000,185,0,2983,8204

43,0,437,1000,83,0,2767,8307

43,0,656,1000,0,0,2603,8410

1000,1000,1000,1000,1000,1000,2500,8513
