Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time
0,86,1000,100,0,0,1920,4728
0,95,1000,57,0,0,1967,4736
0,90,1000,52,0,0,1967,4743
0,86,1000,100,0,0,2011,4756
0,38,993,204,0,0,2172,4786
0,38,781,461,0,0,2343,4814
0,0,515,733,0,0,2566,4844
3,0,400,900,4,3,2748,4872
0,0,387,900,52,0,2702,4900
0,0,393,838,0,0,2648,4929
0,0,581,671,0,0,2540,4958
0,0,593,576,0,0,2466,4985
0,43,715,514,0,0,2444,5013
0,43,793,471,0,0,2392,5043
3,0,793,419,4,3,2370,5071
0,43,781,461,0,0,2392,5100
0,38,721,466,0,0,2390,5129
0,38,709,509,47,0,2415,5158
0,43,593,523,0,0,2444,5188
0,0,581,619,0,0,2519,5217
0,0,527,680,0,0,2565,5245
0,0,454,728,0,0,2675,5273
0,38,448,785,47,0,2638,5302
7,4,333,852,9,6,2727,5331
0,38,381,833,47,0,2674,5360
0,0,333,847,52,0,2780,5390
0,0,321,900,52,0,2779,5419
0,0,321,952,47,0,2785,5448
0,0,321,942,47,0,2796,5477
0,0,321,1000,52,0,2757,5507
3,0,333,952,4,3,2796,5536
0,0,315,952,47,0,2747,5565
0,0,393,900,52,0,2733,5594
0,0,387,900,52,0,2688,5623
0,0,400,847,52,0,2703,5652
0,0,387,838,47,0,2739,5681
0,0,387,900,52,0,2696,5710
0,0,381,890,47,0,2788,5739
0,0,387,900,52,0,2702,5769
3,0,393,900,57,3,2748,5797
0,0,454,847,52,0,2652,5827
0,0,393,838,52,0,2683,5856
0,38,448,828,47,0,2654,5884
0,38,460,847,47,0,2681,5915
0,0,381,890,47,0,2749,5945
0,38,387,900,47,0,2696,5975
3,0,393,838,57,3,2687,6004
0,38,515,780,47,34,2638,6034
3,43,521,676,52,38,2569,6065
0,38,581,619,47,34,2524,6096
0,38,587,676,47,0,2627,6127
0,38,448,838,47,34,2638,6158
32,34,387,895,95,31,2748,6189
0,38,321,1000,47,34,2747,6221
0,43,333,1000,52,0,2845,6253
36,38,381,895,47,34,2714,6284
0,0,460,847,0,0,2633,6317
0,38,515,776,47,0,2639,6344
0,38,515,780,47,0,2602,6375
0,0,381,942,47,0,2749,6405
0,38,254,1000,47,0,2760,6434
3,0,200,1000,57,3,2886,6465
0,43,193,1000,52,0,2842,6496
0,0,200,1000,47,0,2936,6526
0,38,187,1000,47,0,2842,6557
0,0,260,1000,47,0,2886,6588
0,43,254,1000,52,0,2797,6618
0,0,315,1000,47,0,2793,6649
0,38,321,952,47,0,2747,6679
0,0,321,1000,52,0,2753,6710
0,0,260,1000,52,0,2797,6739
0,0,254,1000,47,0,2797,6770
3,0,200,1000,57,3,2845,6800
0,0,187,1000,47,0,2842,6831
0,0,200,1000,57,0,2886,6860
0,0,193,1000,52,0,2842,6891
0,0,187,1000,47,0,2886,6921
0,0,187,1000,47,0,2886,6950
0,0,193,1000,52,0,2833,6981
0,0,187,1000,47,0,2886,7011
0,0,193,1000,52,0,2842,7042
0,0,187,1000,47,0,2886,7071
0,0,193,1000,52,0,2842,7102
3,0,200,1000,57,3,2886,7132
0,0,193,1000,52,0,2842,7162
0,0,121,1000,47,0,2936,7192
0,0,121,1000,47,0,2892,7223
0,0,121,1000,47,0,2936,7252
0,0,127,1000,52,0,2886,7282
0,0,193,1000,52,0,2842,7313
0,0,187,1000,47,0,2886,7343
0,0,187,1000,47,0,2842,7373
0,0,187,1000,47,0,2886,7403
0,0,254,1000,47,0,2797,7434
3,0,266,1000,57,3,2845,7463
0,0,254,952,47,0,2747,7494
0,0,327,952,47,0,2840,7523
0,0,321,952,47,0,2796,7553
0,0,321,952,52,0,2744,7581
0,0,321,890,47,0,2788,7610
0,0,321,957,52,0,2747,7640
3,0,327,952,57,3,2796,7668
0,0,254,952,47,0,2747,7698
0,0,333,952,57,0,2838,7727
0,0,321,952,52,0,2747,7756
0,0,327,952,47,0,2797,7785
0,0,387,900,52,0,2737,7814
0,0,381,900,47,0,2733,7843
0,0,387,895,52,0,2686,7872
0,0,381,895,47,0,2737,7902
3,0,327,900,57,3,2736,7930
0,0,321,952,47,0,2789,7960
0,38,260,952,47,34,2840,7989
0,0,254,952,47,0,2789,8020
0,38,327,900,47,0,2784,8049
0,0,454,842,0,0,2672,8079
0,38,527,680,47,0,2567,8108
0,0,581,619,0,0,2519,8137
0,43,648,519,52,0,2442,8166
3,0,793,419,4,3,2343,8196
